linea,tren_id,sentido,unidad,equipo_vacio,estacion,dist_km,hora_min
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,CONCEPCIÓN,1.0,404.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Juan Pablo II,3.839,409.67
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Juan Pablo II,3.839,410.17
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Diagonal Bio Bio,5.571,412.58
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Diagonal Bio Bio,5.571,412.92
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Alborada,7.439,415.42
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Alborada,7.439,415.75
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Costa Mar,8.635,417.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Costa Mar,8.635,417.75
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,El Parque,9.83,420.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,El Parque,9.83,420.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,LOMAS COLORADAS,11.026,422.75
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,LOMAS COLORADAS,11.026,423.25
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Card. Raúl Silva Henriquez,13.581,425.83
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Card. Raúl Silva Henriquez,13.581,426.17
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Hito Galvarino,16.137,432.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Hito Galvarino,16.137,432.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Los Canelos,18.693,436.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Los Canelos,18.693,436.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Huinca,21.248,438.0
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Huinca,21.248,438.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Cristo Redentor,23.804,440.33
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Cristo Redentor,23.804,440.67
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Laguna Quiñenco,25.58,443.17
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,Laguna Quiñenco,25.58,443.5
L2,L2-CC->CW-20001,CC->CW,SFE 1,False,CORONEL,27.355,446.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,CONCEPCIÓN,1.0,417.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Juan Pablo II,3.839,422.67
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Juan Pablo II,3.839,423.17
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Diagonal Bio Bio,5.571,425.58
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Diagonal Bio Bio,5.571,425.92
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Alborada,7.439,428.42
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Alborada,7.439,428.75
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Costa Mar,8.635,430.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Costa Mar,8.635,430.75
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,El Parque,9.83,433.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,El Parque,9.83,433.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,LOMAS COLORADAS,11.026,435.75
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,LOMAS COLORADAS,11.026,436.25
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Card. Raúl Silva Henriquez,13.581,438.83
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Card. Raúl Silva Henriquez,13.581,439.17
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Hito Galvarino,16.137,445.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Hito Galvarino,16.137,445.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Los Canelos,18.693,449.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Los Canelos,18.693,449.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Huinca,21.248,451.0
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Huinca,21.248,451.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Cristo Redentor,23.804,453.33
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Cristo Redentor,23.804,453.67
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Laguna Quiñenco,25.58,456.17
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,Laguna Quiñenco,25.58,456.5
L2,L2-CC->CW-20003,CC->CW,SFE 2,False,CORONEL,27.355,459.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,CONCEPCIÓN,1.0,432.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Juan Pablo II,3.839,437.67
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Juan Pablo II,3.839,438.17
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Diagonal Bio Bio,5.571,440.58
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Diagonal Bio Bio,5.571,440.92
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Alborada,7.439,443.42
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Alborada,7.439,443.75
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Costa Mar,8.635,445.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Costa Mar,8.635,445.75
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,El Parque,9.83,448.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,El Parque,9.83,448.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,LOMAS COLORADAS,11.026,450.75
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,LOMAS COLORADAS,11.026,451.25
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Card. Raúl Silva Henriquez,13.581,453.83
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Card. Raúl Silva Henriquez,13.581,454.17
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Hito Galvarino,16.137,460.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Hito Galvarino,16.137,460.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Los Canelos,18.693,464.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Los Canelos,18.693,464.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Huinca,21.248,466.0
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Huinca,21.248,466.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Cristo Redentor,23.804,468.33
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Cristo Redentor,23.804,468.67
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Laguna Quiñenco,25.58,471.17
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,Laguna Quiñenco,25.58,471.5
L2,L2-CC->CW-20005,CC->CW,SFE 3,False,CORONEL,27.355,474.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,CONCEPCIÓN,1.0,445.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Juan Pablo II,3.839,450.67
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Juan Pablo II,3.839,451.17
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Diagonal Bio Bio,5.571,453.58
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Diagonal Bio Bio,5.571,453.92
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Alborada,7.439,456.42
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Alborada,7.439,456.75
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Costa Mar,8.635,458.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Costa Mar,8.635,458.75
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,El Parque,9.83,461.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,El Parque,9.83,461.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,LOMAS COLORADAS,11.026,463.75
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,LOMAS COLORADAS,11.026,464.25
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Card. Raúl Silva Henriquez,13.581,466.83
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Card. Raúl Silva Henriquez,13.581,467.17
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Hito Galvarino,16.137,473.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Hito Galvarino,16.137,473.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Los Canelos,18.693,477.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Los Canelos,18.693,477.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Huinca,21.248,479.0
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Huinca,21.248,479.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Cristo Redentor,23.804,481.33
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Cristo Redentor,23.804,481.67
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Laguna Quiñenco,25.58,484.17
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,Laguna Quiñenco,25.58,484.5
L2,L2-CC->CW-20009,CC->CW,SFE 5,False,CORONEL,27.355,487.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,CONCEPCIÓN,1.0,461.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Juan Pablo II,3.839,466.67
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Juan Pablo II,3.839,467.17
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Diagonal Bio Bio,5.571,469.58
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Diagonal Bio Bio,5.571,469.92
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Alborada,7.439,472.42
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Alborada,7.439,472.75
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Costa Mar,8.635,474.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Costa Mar,8.635,474.75
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,El Parque,9.83,477.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,El Parque,9.83,477.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,LOMAS COLORADAS,11.026,479.75
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,LOMAS COLORADAS,11.026,480.25
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Card. Raúl Silva Henriquez,13.581,482.83
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Card. Raúl Silva Henriquez,13.581,483.17
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Hito Galvarino,16.137,489.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Hito Galvarino,16.137,489.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Los Canelos,18.693,493.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Los Canelos,18.693,493.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Huinca,21.248,495.0
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Huinca,21.248,495.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Cristo Redentor,23.804,497.33
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Cristo Redentor,23.804,497.67
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Laguna Quiñenco,25.58,500.17
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,Laguna Quiñenco,25.58,500.5
L2,L2-CC->CW-20011,CC->CW,SFE 6,False,CORONEL,27.355,503.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,CONCEPCIÓN,1.0,474.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Juan Pablo II,3.839,479.67
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Juan Pablo II,3.839,480.17
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Diagonal Bio Bio,5.571,482.58
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Diagonal Bio Bio,5.571,482.92
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Alborada,7.439,485.42
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Alborada,7.439,485.75
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Costa Mar,8.635,487.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Costa Mar,8.635,487.75
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,El Parque,9.83,490.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,El Parque,9.83,490.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,LOMAS COLORADAS,11.026,492.75
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,LOMAS COLORADAS,11.026,493.25
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Card. Raúl Silva Henriquez,13.581,495.83
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Card. Raúl Silva Henriquez,13.581,496.17
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Hito Galvarino,16.137,502.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Hito Galvarino,16.137,502.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Los Canelos,18.693,506.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Los Canelos,18.693,506.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Huinca,21.248,508.0
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Huinca,21.248,508.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Cristo Redentor,23.804,510.33
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Cristo Redentor,23.804,510.67
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Laguna Quiñenco,25.58,513.17
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,Laguna Quiñenco,25.58,513.5
L2,L2-CC->CW-20015,CC->CW,SFE 8,False,CORONEL,27.355,516.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,CONCEPCIÓN,1.0,498.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Juan Pablo II,3.839,503.67
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Juan Pablo II,3.839,504.17
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Diagonal Bio Bio,5.571,506.58
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Diagonal Bio Bio,5.571,506.92
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Alborada,7.439,509.42
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Alborada,7.439,509.75
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Costa Mar,8.635,511.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Costa Mar,8.635,511.75
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,El Parque,9.83,514.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,El Parque,9.83,514.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,LOMAS COLORADAS,11.026,516.75
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,LOMAS COLORADAS,11.026,517.25
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Card. Raúl Silva Henriquez,13.581,519.83
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Card. Raúl Silva Henriquez,13.581,520.17
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Hito Galvarino,16.137,526.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Hito Galvarino,16.137,526.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Los Canelos,18.693,530.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Los Canelos,18.693,530.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Huinca,21.248,532.0
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Huinca,21.248,532.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Cristo Redentor,23.804,534.33
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Cristo Redentor,23.804,534.67
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Laguna Quiñenco,25.58,537.17
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,Laguna Quiñenco,25.58,537.5
L2,L2-CC->CW-20017,CC->CW,SFE 9,False,CORONEL,27.355,540.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,CONCEPCIÓN,1.0,505.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Juan Pablo II,3.839,510.67
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Juan Pablo II,3.839,511.17
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Diagonal Bio Bio,5.571,513.58
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Diagonal Bio Bio,5.571,513.92
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Alborada,7.439,516.42
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Alborada,7.439,516.75
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Costa Mar,8.635,518.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Costa Mar,8.635,518.75
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,El Parque,9.83,521.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,El Parque,9.83,521.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,LOMAS COLORADAS,11.026,523.75
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,LOMAS COLORADAS,11.026,524.25
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Card. Raúl Silva Henriquez,13.581,526.83
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Card. Raúl Silva Henriquez,13.581,527.17
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Hito Galvarino,16.137,533.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Hito Galvarino,16.137,533.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Los Canelos,18.693,537.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Los Canelos,18.693,537.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Huinca,21.248,539.0
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Huinca,21.248,539.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Cristo Redentor,23.804,541.33
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Cristo Redentor,23.804,541.67
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Laguna Quiñenco,25.58,544.17
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,Laguna Quiñenco,25.58,544.5
L2,L2-CC->CW-20023,CC->CW,SFE 1,False,CORONEL,27.355,547.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,CONCEPCIÓN,1.0,518.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Juan Pablo II,3.839,523.67
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Juan Pablo II,3.839,524.17
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Diagonal Bio Bio,5.571,526.58
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Diagonal Bio Bio,5.571,526.92
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Alborada,7.439,529.42
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Alborada,7.439,529.75
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Costa Mar,8.635,531.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Costa Mar,8.635,531.75
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,El Parque,9.83,534.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,El Parque,9.83,534.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,LOMAS COLORADAS,11.026,536.75
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,LOMAS COLORADAS,11.026,537.25
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Card. Raúl Silva Henriquez,13.581,539.83
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Card. Raúl Silva Henriquez,13.581,540.17
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Hito Galvarino,16.137,546.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Hito Galvarino,16.137,546.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Los Canelos,18.693,550.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Los Canelos,18.693,550.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Huinca,21.248,552.0
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Huinca,21.248,552.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Cristo Redentor,23.804,554.33
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Cristo Redentor,23.804,554.67
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Laguna Quiñenco,25.58,557.17
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,Laguna Quiñenco,25.58,557.5
L2,L2-CC->CW-20025,CC->CW,SFE 2,False,CORONEL,27.355,560.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,CONCEPCIÓN,1.0,531.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Juan Pablo II,3.839,536.67
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Juan Pablo II,3.839,537.17
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Diagonal Bio Bio,5.571,539.58
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Diagonal Bio Bio,5.571,539.92
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Alborada,7.439,542.42
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Alborada,7.439,542.75
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Costa Mar,8.635,544.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Costa Mar,8.635,544.75
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,El Parque,9.83,547.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,El Parque,9.83,547.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,LOMAS COLORADAS,11.026,549.75
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,LOMAS COLORADAS,11.026,550.25
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Card. Raúl Silva Henriquez,13.581,552.83
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Card. Raúl Silva Henriquez,13.581,553.17
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Hito Galvarino,16.137,559.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Hito Galvarino,16.137,559.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Los Canelos,18.693,563.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Los Canelos,18.693,563.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Huinca,21.248,565.0
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Huinca,21.248,565.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Cristo Redentor,23.804,567.33
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Cristo Redentor,23.804,567.67
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Laguna Quiñenco,25.58,570.17
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,Laguna Quiñenco,25.58,570.5
L2,L2-CC->CW-20027,CC->CW,SFE 3,False,CORONEL,27.355,573.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,CONCEPCIÓN,1.0,543.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Juan Pablo II,3.839,548.67
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Juan Pablo II,3.839,549.17
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Diagonal Bio Bio,5.571,551.58
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Diagonal Bio Bio,5.571,551.92
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Alborada,7.439,554.42
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Alborada,7.439,554.75
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Costa Mar,8.635,556.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Costa Mar,8.635,556.75
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,El Parque,9.83,559.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,El Parque,9.83,559.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,LOMAS COLORADAS,11.026,561.75
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,LOMAS COLORADAS,11.026,562.25
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Card. Raúl Silva Henriquez,13.581,564.83
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Card. Raúl Silva Henriquez,13.581,565.17
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Hito Galvarino,16.137,571.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Hito Galvarino,16.137,571.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Los Canelos,18.693,575.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Los Canelos,18.693,575.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Huinca,21.248,577.0
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Huinca,21.248,577.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Cristo Redentor,23.804,579.33
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Cristo Redentor,23.804,579.67
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Laguna Quiñenco,25.58,582.17
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,Laguna Quiñenco,25.58,582.5
L2,L2-CC->CW-20029,CC->CW,SFE 5,False,CORONEL,27.355,585.0
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,CONCEPCIÓN,1.0,555.0
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Juan Pablo II,3.839,560.67
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Juan Pablo II,3.839,561.17
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Diagonal Bio Bio,5.571,563.58
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Diagonal Bio Bio,5.571,563.92
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Alborada,7.439,566.42
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Alborada,7.439,566.75
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Costa Mar,8.635,568.33
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Costa Mar,8.635,568.75
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,El Parque,9.83,571.0
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,El Parque,9.83,571.33
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,LOMAS COLORADAS,11.026,573.75
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,LOMAS COLORADAS,11.026,574.25
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Card. Raúl Silva Henriquez,13.581,576.83
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Card. Raúl Silva Henriquez,13.581,577.17
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Hito Galvarino,16.137,583.0
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Hito Galvarino,16.137,583.33
L2,L2-CC->CW-20031,CC->CW,SFE 6,False,Los Canelos,18.693,587.0
